date,month_year,boutique_id,boutique_name,market,category,product,forecast_demand,actual_demand,stock_available,stock_cover_weeks,reorder_point,lead_time_days,stockout_risk,overstock_risk,waitlist_count,sales_velocity,unit_cost_usd
2024-07-01,Jul 2024,hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,3,2,3,6.0,1,12,Low,Low,35,0.5,259608.6
2024-07-31,Jul 2024,hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,3,2,3,6.0,1,41,Low,Low,15,0.5,259608.6
2024-08-30,Aug 2024,hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,3,3,2,2.9,1,17,Medium,Low,35,0.7,259608.6
2024-09-29,Sep 2024,hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,4,3,3,4.3,1,15,Low,Low,5,0.7,259608.6
2024-10-29,Oct 2024,hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,5,5,4,3.3,2,31,Low,Low,35,1.2,259608.6
2024-11-28,Nov 2024,hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,4,4,5,5.0,1,23,Low,Medium,25,1.0,259608.6
2024-12-28,Dec 2024,hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,5,5,3,2.5,2,28,Medium,Low,30,1.2,259608.6
2025-01-27,Jan 2025,hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,5,5,4,3.3,2,38,Low,Low,10,1.2,259608.6
2025-02-26,Feb 2025,hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,5,5,4,3.3,2,44,Low,Low,2,1.2,259608.6
2025-03-28,Mar 2025,hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,4,4,4,4.0,1,28,Low,Low,7,1.0,259608.6
2025-04-27,Apr 2025,hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,3,3,2,2.9,1,34,Medium,Low,12,0.7,259608.6
2025-05-27,May 2025,hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,4,4,3,3.0,1,31,Low,Low,30,1.0,259608.6
2025-06-26,Jun 2025,hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,3,2,3,6.0,1,19,Low,Low,32,0.5,259608.6
2025-07-26,Jul 2025,hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,3,3,3,4.3,1,20,Low,Low,10,0.7,259608.6
2025-08-25,Aug 2025,hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,3,2,2,4.0,1,40,Medium,Low,12,0.5,259608.6
2025-09-24,Sep 2025,hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,4,4,3,3.0,1,17,Low,Low,20,1.0,259608.6
2025-10-24,Oct 2025,hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,5,5,5,4.2,2,44,Low,Low,7,1.2,259608.6
2025-11-23,Nov 2025,hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,4,3,2,2.9,1,33,Medium,Low,25,0.7,259608.6
2024-07-01,Jul 2024,hk-2,Aurelle Peninsula Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,0,0,0,0.0,0,87,Low,Low,1,0.0,259608.6
2024-07-31,Jul 2024,hk-2,Aurelle Peninsula Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,0,0,0,0.0,0,26,Low,Low,2,0.0,259608.6
2024-08-30,Aug 2024,hk-2,Aurelle Peninsula Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,0,0,0,0.0,0,74,Low,Low,16,0.0,259608.6
2024-09-29,Sep 2024,hk-2,Aurelle Peninsula Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,1,1,1,4.0,0,14,Low,Low,9,0.2,259608.6
2024-10-29,Oct 2024,hk-2,Aurelle Peninsula Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,1,0,1,4.0,0,22,Low,Low,6,0.0,259608.6
2024-11-28,Nov 2024,hk-2,Aurelle Peninsula Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,1,1,1,4.0,0,85,Low,Low,16,0.2,259608.6
2024-12-28,Dec 2024,hk-2,Aurelle Peninsula Hong Kong,Hong Kong,High Jewellery,Maison Panthère Necklace,1,1,1,4.0,0,40,Low,Low,14,0.2,259608.6
