shipment_id,origin,destination_hub,destination_boutique,market,category,product,reference_sku,units_ordered,units_shipped,ship_date,estimated_arrival,actual_arrival,shipment_status,transport_mode,customs_status,delay_days,delay_reason,priority_flag,linked_vic_client,unit_cost_usd,total_shipment_value
SHP-2026-1001,Switzerland Factory,Hong Kong Hub,Aurelle Wynn Palace Macau,Macau,Watches,Ballon Bleu de Aurelle,W-BBLUE-M-SS-BLU,3,3,2026-05-25,2026-06-01,2026-05-31,Delivered,Air Freight,Cleared,0,,False,,16128.28,48384.84
SHP-2026-1002,Switzerland Factory,Hong Kong Hub,Aurelle Shinsaibashi Osaka,Japan,Watches,Tank Must,W-TANK-M-YG-SLV,5,5,2026-06-04,2026-06-15,2026-06-16,Delivered,Air Freight,Cleared,1,,False,,18500.0,92500.0
SHP-2026-1003,Switzerland Factory,Singapore DC,Aurelle Siam Paragon Bangkok,Thailand,Fine Jewellery,LOVE Bracelet Classic,J-LOVE-BRAC-YG,5,5,2026-06-17,2026-06-24,,Customs Hold,Courier,Under Review,5,Customs clearance delay,False,,2867.73,14338.65
SHP-2026-1004,Switzerland Factory,Hong Kong Hub,Aurelle Taipei 101 Mall,Taiwan,Watches,Panthère de Aurelle Watch,W-PANTHERE-S-YG-WHT,2,0,2026-06-30,2026-07-09,,Ordered,Air Freight,N/A,0,,True,CRT-TA-1188,9074.71,18149.42
SHP-2026-1005,Singapore DC,Hong Kong Hub,Aurelle Lotte Main Seoul,South Korea,Watches,Santos de Aurelle,W-SANTOS-L-SS-WHT,4,4,2026-06-10,2026-06-16,,Delayed,Air Freight,Pending,4,Logistics congestion,False,,14500.0,58000.0
SHP-2026-1006,Switzerland Factory,Hong Kong Hub,Aurelle MixC Shenzhen,China,Watches,Tank Must,W-TANK-S-SS-WHT,2,2,2026-06-02,2026-06-10,2026-06-12,Delivered,Air Freight,Cleared,2,,True,CRT-CH-1586,7843.85,15687.7
SHP-2026-1007,Switzerland Factory,Hong Kong Hub,Aurelle Mansion Tokyo Ginza,Japan,Fine Jewellery,Trinity Ring Classic,J-TRINITY-RING-CL,9,9,2026-06-17,2026-06-22,,In Transit,Courier,Cleared,0,,False,,1693.47,15241.23
SHP-2026-1008,Singapore DC,Hong Kong Hub,Aurelle Shinsaibashi Osaka,Japan,Fine Jewellery,Aurelle d'Amour Necklace,J-DAMOUR-NECK-YG,7,7,2026-06-20,2026-06-29,,In Transit,Courier,Cleared,0,,False,,5500.0,38500.0
SHP-2026-1009,Singapore DC,Hong Kong Hub,Aurelle Omotesando Tokyo,Japan,Fine Jewellery,LOVE Bracelet Classic,J-LOVE-BRAC-WG,9,9,2026-06-19,2026-07-01,,In Transit,Courier,Pending,0,,False,,3100.0,27900.0
SHP-2026-1010,Singapore DC,Singapore DC,Aurelle ION Orchard Singapore,Singapore,Watches,Ballon Bleu de Aurelle,W-BBLUE-S-SS-PNK,4,4,2026-06-17,2026-06-28,,In Transit,Air Freight,Cleared,0,,False,,12000.0,48000.0
