boutique_id,boutique_name,market,boutique_tier,category,collection,reference_sku,reference_name,model_stock_target,min_stock_level,unit_cost_usd,model_stock_value,is_core_reference,review_cycle,last_reviewed_date,notes
hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,Flagship,High Jewellery,High Jewellery,HJ-PANTHERE-NECK,"Maison Panthère Necklace, Platinum & Diamonds",1,0,259608.6,259608.6,False,Monthly,2026-05-15,Standard stock plan for High Jewellery.
hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,Flagship,High Jewellery,High Jewellery,HJ-TRINITY-CUFF,"Trinity HJ Cuff, White/Yellow/Rose Gold & Diamonds",1,0,228231.04,228231.04,False,Monthly,2026-05-15,Standard stock plan for High Jewellery.
hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,Flagship,High Jewellery,High Jewellery,HJ-CACTUS-COLL,"Cactus de Aurelle Collier, Yellow Gold & Emeralds",1,0,299658.81,299658.81,False,Monthly,2026-05-15,Standard stock plan for High Jewellery.
hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,Flagship,High Jewellery,High Jewellery,HJ-LOVE-BRAC,"LOVE Bracelet HJ, Pink Gold & Diamonds",1,0,135813.52,135813.52,False,Monthly,2026-05-15,Standard stock plan for High Jewellery.
hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,Flagship,Watches,Santos,W-SANTOS-M-SS-BLK,"Santos de Aurelle Watch, Medium, Steel, Black Dial",4,1,12418.57,49674.28,True,Quarterly,2026-05-15,Standard stock plan for Santos.
hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,Flagship,Watches,Santos,W-SANTOS-L-YG-BRN,"Santos de Aurelle Watch, Large, Yellow Gold, Brown Strap",3,1,28000.0,84000.0,False,Quarterly,2026-05-15,Standard stock plan for Santos.
hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,Flagship,Watches,Santos,W-SANTOS-L-SS-WHT,"Santos de Aurelle Watch, Large, Steel, White Dial",5,1,14500.0,72500.0,True,Quarterly,2026-05-15,Standard stock plan for Santos.
hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,Flagship,Watches,Tank,W-TANK-S-SS-WHT,"Tank Must Watch, Small, Steel, Silver Dial",4,1,7843.85,31375.4,True,Quarterly,2026-05-15,Standard stock plan for Tank.
hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,Flagship,Watches,Tank,W-TANK-L-SS-BLK,"Tank Must Watch, Large, Steel, Black Dial",3,1,8900.0,26700.0,False,Quarterly,2026-05-15,Standard stock plan for Tank.
hk-1,Aurelle Landmark Prince's Hong Kong,Hong Kong,Flagship,Watches,Tank,W-TANK-M-YG-SLV,"Tank Must Watch, Medium, Yellow Gold, Silver Dial",2,1,18500.0,37000.0,False,Quarterly,2026-05-15,Standard stock plan for Tank.
